p2,score
ADAM7,8.922922922922922
ADAM8,20.658658658658656
ADAM9,19.707707707707705
ADAMDEC1,13.480480480480479
ADAMTS1,23.966966966966964
ADAMTS10,12.747747747747747
ADAMTS12,14.267267267267265
ADAMTS13,18.19219219219219
ADAMTS14,17.76076076076076
ADAMTS15,10.682682682682682
ADAMTS16,10.982982982982982
ADAMTS17,13.710710710710709
ADAMTS18,14.707707707707705
ADAMTS19,13.946946946946944
ADAMTS2,23.167167167167165
ADAMTS20,14.132132132132131
ADAMTS3,23.311311311311307
ADAMTS4,20.647647647647645
ADAMTS5,19.2012012012012
ADAMTS6,17.263263263263262
ADAMTS7,16.933933933933933
ADAMTS8,13.076076076076074
ADAMTS9,19.420420420420417
ADAMTSL1,21.838838838838836
ADAMTSL2,12.592592592592592
ADAMTSL3,19.590590590590587
ADAMTSL4,21.364364364364363
ADAMTSL5,9.146146146146146
ADAP1,22.168168168168165
ADAP2,27.408408408408405
ADAR,40.249249249249246
ADARB1,21.45345345345345
ADARB2,23.710710710710707
ADAT1,8.096096096096096
ADAT2,26.659659659659656
ADAT3,18.572572572572568
ADCK1,17.124124124124123
ADCK2,14.879879879879878
ADCK3,19.688688688688686
ADCK4,20.453453453453452
ADCK5,13.9019019019019
ADCY1,40.53253253253253
ADCY10,56.13413413413412
ADCY2,36.76476476476476
ADCY3,39.08508508508508
ADCY4,27.91691691691691
ADCY5,47.29029029029029
ADCY6,31.031031031031027
ADCY7,30.83283283283283
ADCY8,52.97897897897897
ADCY9,27.385385385385383
ADCYAP1,33.147147147147145
ADCYAP1R1,31.77377377377377
ADD1,21.943943943943943
ADD2,26.428428428428425
ADD3,21.435435435435434
ADGB,7.794794794794794
ADH1A,31.718718718718716
ADH1B,28.805805805805804
ADH1C,28.74274274274274
ADH4,34.046046046046044
ADH5,33.59259259259259
ADH6,31.919919919919916
ADH7,28.291291291291287
ADHFE1,35.43243243243243
ADI1,16.741741741741738
ADIG,4.0340340340340335
ADIPOQ,54.37337337337337
ADIPOR1,19.702702702702698
ADIPOR2,14.137137137137135
ADIRF,8.730730730730729
ADK,42.44544544544544
ADM,17.089089089089086
ADM2,8.962962962962962
ADM5,0.9569569569569567
ADNP,29.378378378378375
ADNP2,5.255255255255254
ADO,5.786786786786786
ADORA1,31.400400400400397
ADORA2A,25.659659659659656
ADORA2B,21.644644644644643
ADORA3,25.411411411411407
ADPGK,19.569569569569566
ADPRH,7.184184184184183
ADPRHL1,9.482482482482482
ADPRHL2,10.634634634634633
ADPRM,8.412412412412412
ADRA1A,11.66166166166166
ADRA1B,23.698698698698696
ADRA1D,20.754754754754753
ADRA2A,20.004004004004003
ADRA2B,16.638638638638636
ADRA2C,16.037037037037035
ADRB1,21.484484484484483
ADRB2,47.65765765765765
ADRB3,12.247247247247245
ADRBK1,58.17017017017017
ADRBK2,46.65265265265265
ADRM1,54.53653653653653
ADSL,48.20020020020019
ADSS,48.24324324324324
ADSSL1,40.47847847847847
ADTRP,11.153153153153152
AEBP1,14.924924924924923
